"Weekly Rubella Incidence, 1966-2003"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1966,29,0.12,-,1.36,-,0.02,0.40,0.86,-,-,0.16,-,0.28,-,0.07,0.38,-,-,0.16,-,0.60,0.11,0.18,0.36,-,-,0.18,-,-,-,-,-,-,0.18,-,-,0.05,-,1.32,0.01,-,0.12,-,0.44,0.02,-,-,0.43,0.26,0.11,1.22,-
1966,30,-,-,0.93,-,0.02,0.20,0.45,-,-,0.07,-,0.42,-,0.14,0.18,-,-,0.35,-,0.50,0.05,0.14,0.29,0.03,-,-,0.28,-,-,-,-,-,0.11,-,0.31,0.08,-,0.51,-,-,0.08,-,0.31,0.03,-,0.24,0.11,0.36,-,1.08,-
1966,31,0.03,0.37,1.12,-,0.04,0.50,0.28,-,-,0.20,-,-,0.15,0.09,0.10,-,-,0.73,-,1.00,0.05,0.11,0.18,-,-,-,-,-,-,-,-,-,0.20,-,-,0.05,-,0.25,-,0.22,-,0.15,0.50,0.01,-,0.97,0.07,0.49,0.56,1.19,-
1966,32,-,1.48,0.81,-,0.01,0.30,0.55,-,-,0.02,-,0.28,-,0.07,0.24,0.07,-,0.13,-,1.40,0.11,0.05,0.52,-,-,0.02,-,-,-,-,-,-,0.13,-,0.62,0.02,-,0.25,-,0.44,0.12,-,0.63,-,-,-,0.04,0.20,0.45,1.97,-
1966,33,-,-,0.56,-,0.02,0.40,0.52,-,-,0.07,-,0.14,0.15,0.05,0.12,0.07,-,0.13,-,0.50,0.05,-,0.15,-,-,-,-,-,-,-,-,-,0.08,-,-,0.04,-,0.41,0.01,0.33,-,-,0.26,-,-,-,0.04,0.79,1.01,1.47,0.31
1966,34,0.14,0.37,0.25,-,0.03,0.05,0.48,0.39,0.25,0.23,-,0.56,0.15,0.02,0.08,0.07,-,0.13,-,1.30,0.16,0.09,0.08,-,-,-,-,-,-,-,-,-,0.07,-,0.31,0.06,-,0.25,-,0.89,-,-,0.21,-,-,-,-,0.16,0.39,1.26,-
1966,35,-,0.37,0.37,-,0.05,1.35,0.24,-,0.13,-,-,-,-,0.02,0.28,0.04,-,0.10,-,0.10,-,0.13,0.13,-,-,-,-,-,-,-,-,-,0.10,-,-,0.06,-,0.15,-,0.33,0.12,-,0.44,0.03,-,-,0.09,0.65,0.17,1.29,-
1966,36,-,-,-,-,-,0.20,0.14,-,-,0.13,-,0.28,-,0.09,0.08,0.14,-,0.10,-,0.30,0.03,0.05,0.18,-,-,0.02,0.85,-,-,-,-,-,0.04,-,-,0.05,-,0.51,-,-,-,-,0.16,-,0.10,-,0.11,0.13,0.23,1.08,-
1966,37,-,-,0.25,-,0.04,0.25,0.24,-,-,0.05,-,0.14,0.15,0.05,0.18,0.07,-,0.06,-,0.60,0.05,0.09,0.35,-,-,-,-,-,-,-,-,-,0.10,-,-,0.01,-,0.56,-,-,0.16,-,0.03,0.02,-,-,0.11,0.16,0.68,0.87,-
1966,38,-,-,0.25,-,0.04,-,0.45,-,0.13,0.15,-,-,-,0.17,0.08,0.25,-,0.13,-,1.00,0.03,0.09,0.20,-,-,-,-,-,-,-,-,-,0.08,-,0.31,0.04,-,0.71,0.02,0.11,-,-,0.21,-,-,-,0.07,0.75,0.62,0.77,-
1966,39,-,0.74,0.31,-,0.10,0.25,0.62,-,-,-,-,0.28,0.15,0.11,0.12,0.11,-,0.03,-,0.70,-,0.09,0.11,-,-,0.02,-,-,-,-,-,-,0.03,-,0.15,0.08,-,0.51,-,-,-,-,0.05,-,-,-,0.09,2.29,0.11,0.91,-
1966,40,-,0.74,0.12,0.05,0.07,0.45,0.41,0.58,0.13,0.34,-,0.70,-,0.19,0.22,0.14,-,0.06,-,0.20,0.03,0.02,0.28,-,-,0.02,-,-,-,0.15,-,-,0.06,-,-,0.15,-,0.91,0.03,0.11,-,-,0.13,-,-,-,-,0.75,0.06,0.44,-
1966,41,-,0.37,0.56,-,0.05,0.30,0.45,-,0.13,0.16,-,0.14,-,0.08,0.02,0.14,-,0.10,-,0.90,0.03,0.11,0.14,0.03,-,-,0.14,-,-,-,-,-,0.08,-,0.31,0.08,-,0.30,-,0.22,0.12,-,0.08,-,0.10,0.48,-,1.14,0.23,0.56,-
1966,42,-,-,0.37,-,0.15,-,0.41,-,0.25,0.10,-,-,0.29,0.18,0.16,0.29,-,0.06,-,0.30,0.19,0.18,0.14,0.08,-,-,0.14,-,-,0.15,-,-,0.06,-,0.15,0.08,-,0.15,-,0.11,-,-,0.03,0.02,0.10,-,0.11,1.50,0.23,0.75,-
1966,43,-,0.74,0.62,-,0.05,0.30,0.34,-,-,0.07,-,0.14,-,0.06,0.08,0.25,-,0.03,-,0.60,0.05,0.16,0.16,0.11,-,0.02,1.41,-,-,-,-,-,0.13,-,0.62,0.14,-,0.66,0.01,0.11,-,-,0.42,-,0.20,-,-,1.60,0.11,0.47,-
1966,44,0.03,1.48,0.31,-,0.10,0.10,0.45,-,-,0.13,-,0.14,0.29,0.04,0.18,0.62,-,-,-,0.30,0.08,0.11,0.21,-,-,-,-,0.07,-,-,-,-,0.13,-,-,0.03,-,0.46,-,-,-,-,0.47,-,-,-,0.11,-,0.06,0.66,-
1966,45,-,0.74,1.61,-,0.04,0.20,0.79,-,-,0.13,-,0.42,-,0.13,0.60,0.14,-,0.35,-,0.70,-,0.09,0.16,0.06,-,0.07,-,-,-,-,-,-,0.06,-,0.31,0.02,-,0.86,-,0.22,0.12,-,0.08,0.02,-,0.24,-,-,0.06,0.77,-
1966,46,-,-,0.19,-,0.10,0.90,0.48,0.58,-,0.15,-,0.14,-,0.04,0.34,-,-,0.38,-,1.90,0.05,0.13,0.25,0.03,-,-,0.42,-,-,-,-,-,0.08,-,0.46,0.03,-,0.96,0.01,0.11,0.12,-,0.18,-,-,-,-,1.34,0.34,0.28,-
1966,47,-,0.37,0.31,-,0.09,0.05,0.93,0.19,-,0.20,-,-,1.02,0.09,0.10,0.33,-,0.60,-,0.90,0.19,0.13,0.22,-,-,-,-,-,-,-,-,-,0.08,-,0.62,0.12,-,0.66,-,0.11,-,-,0.24,0.01,0.50,-,0.09,1.14,0.11,0.82,-
1966,48,0.03,1.11,0.56,0.21,0.12,0.35,0.83,-,-,0.03,-,0.14,-,0.14,0.26,0.33,-,0.16,-,1.20,0.03,0.27,0.16,0.03,-,0.02,0.42,-,-,-,-,-,-,-,0.62,0.05,-,2.39,-,0.33,0.04,-,0.10,-,0.10,-,0.07,2.94,0.56,0.87,-
1966,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1966,50,-,1.11,1.12,-,0.18,0.30,0.72,-,-,0.16,-,0.14,-,0.08,0.14,0.54,-,0.13,-,1.00,0.08,0.14,0.35,0.08,-,-,0.14,-,-,-,-,-,0.06,-,1.55,0.15,-,1.42,-,0.22,-,-,0.24,-,-,-,0.04,2.09,0.28,1.31,-
1966,51,-,1.85,0.12,-,0.32,0.25,0.59,-,-,-,-,-,-,0.17,0.10,0.47,-,-,-,0.50,0.14,0.20,0.38,0.03,-,-,-,-,-,-,-,-,0.10,-,1.08,0.15,-,1.27,-,0.11,-,-,0.05,0.01,0.10,0.24,0.13,1.31,0.23,1.36,-
1966,52,0.06,-,0.93,-,0.13,0.30,-,-,-,0.07,-,0.42,-,0.03,0.04,0.69,-,0.10,-,0.40,0.03,0.14,0.14,0.03,-,-,-,-,-,-,-,-,0.07,-,1.24,0.07,-,0.51,0.03,0.22,-,-,0.39,0.01,-,-,0.27,0.49,0.23,0.89,-
1967,1,-,-,0.36,0.16,0.13,0.15,0.78,-,-,0.26,-,0.28,-,0.09,0.28,0.29,-,0.32,-,1.00,0.27,0.11,0.07,0.03,-,-,-,-,-,-,-,-,0.13,-,0.16,0.04,-,0.45,-,0.44,-,-,0.21,-,0.10,-,0.02,0.72,0.45,0.33,-
1967,2,-,1.80,0.85,0.05,0.29,0.05,1.09,-,-,0.16,-,0.41,5.38,0.10,0.10,0.21,-,0.16,-,1.69,0.08,0.45,0.49,0.11,-,0.02,0.14,-,-,-,-,-,0.09,-,0.80,0.08,-,1.97,0.01,0.55,-,-,0.23,0.25,-,-,0.02,1.45,0.85,1.21,-
1967,3,1.01,1.08,1.03,-,0.50,0.39,1.09,-,-,0.11,-,29.05,-,0.22,0.26,1.22,-,0.76,-,1.20,0.03,0.77,0.21,-,-,-,0.57,-,-,-,-,-,0.23,-,0.16,0.09,-,1.41,0.02,0.22,-,-,0.16,0.01,0.10,-,0.04,3.09,0.96,1.44,-
1967,4,0.64,1.44,-,-,0.61,0.63,0.85,0.57,-,0.66,-,0.41,-,0.15,0.12,0.90,-,0.03,-,0.60,0.03,0.38,0.46,-,-,-,1.57,-,-,-,-,-,0.13,-,1.12,0.10,-,0.86,-,0.33,0.20,-,0.49,-,0.49,-,0.31,5.14,1.19,-,-
1967,5,0.84,-,1.34,-,0.88,1.61,1.47,1.14,-,0.69,-,0.69,-,0.15,0.10,2.33,-,1.61,-,3.98,0.03,0.59,0.29,-,-,-,0.43,-,-,-,-,-,0.18,-,-,0.09,-,0.86,-,1.21,-,-,0.78,0.04,0.69,0.47,0.07,2.21,0.28,1.65,-
1967,6,1.76,0.72,-,0.26,1.27,1.56,1.84,-,-,0.32,-,3.32,0.58,0.34,-,1.68,-,0.09,-,5.68,0.24,0.21,0.51,0.08,-,0.04,1.00,-,-,0.14,-,-,0.13,-,1.12,0.10,-,1.06,-,0.44,0.16,-,0.34,0.56,0.29,-,0.18,2.36,0.85,2.11,-
1967,7,-,-,-,-,0.99,1.70,1.12,0.38,-,0.40,-,0.55,-,1.79,0.49,1.75,-,1.58,-,3.88,2.05,0.86,0.56,0.05,-,-,0.29,-,-,-,-,-,0.21,-,1.76,0.15,-,3.99,0.02,0.33,-,-,0.88,0.42,0.29,0.24,0.33,3.65,0.45,2.18,-
1967,8,0.12,0.72,1.09,-,1.04,3.85,1.81,-,-,0.34,-,1.80,0.15,0.22,0.18,2.65,-,0.16,-,2.99,0.13,0.50,0.38,0.08,-,0.13,0.14,-,-,-,-,-,0.16,-,0.64,0.45,-,1.92,-,0.33,0.08,-,0.47,0.18,0.49,-,0.33,2.99,0.62,1.81,-
1967,9,0.03,-,0.49,0.16,1.85,3.12,1.57,0.38,0.13,0.43,-,1.38,-,0.26,0.32,1.65,-,2.77,-,1.00,1.22,0.29,0.82,-,-,0.04,1.14,-,-,0.14,-,-,0.23,-,0.32,0.19,-,2.32,0.01,0.55,0.04,-,0.62,0.36,0.39,-,0.11,2.05,0.68,2.21,-
1967,10,0.12,1.08,5.22,-,1.64,6.14,1.53,0.57,-,0.70,-,1.38,-,0.18,0.49,3.62,-,3.31,-,1.89,2.26,0.91,0.92,0.19,-,-,1.00,-,-,0.14,-,-,0.23,-,0.48,0.12,-,2.88,0.01,0.22,1.26,-,1.01,0.29,0.20,-,0.71,5.14,0.40,2.23,-
1967,11,0.06,0.36,-,0.11,1.81,5.75,1.47,0.38,-,1.11,-,-,-,-,0.47,3.26,-,3.69,-,5.58,1.17,0.45,0.71,0.03,-,0.02,0.43,-,-,0.14,-,-,0.34,-,2.24,0.21,-,2.48,0.01,0.44,0.87,-,1.30,0.53,-,-,0.40,3.65,-,2.23,-
1967,12,-,1.80,2.67,0.05,1.54,4.53,1.57,0.76,0.13,1.55,-,-,-,0.23,0.53,2.65,-,1.92,-,7.67,0.21,0.70,0.97,-,-,0.13,0.71,-,-,0.57,-,-,0.28,-,2.24,0.07,-,2.02,-,0.22,0.83,-,2.57,0.41,0.20,0.24,0.64,2.05,1.24,2.44,-
1967,13,0.09,0.72,1.58,-,1.64,4.72,1.91,-,0.13,0.53,-,0.97,0.87,0.26,1.15,2.97,-,1.92,-,1.79,0.40,0.64,1.01,0.05,-,0.02,0.86,-,-,0.57,-,-,0.36,-,0.32,0.14,-,2.22,0.02,0.99,0.51,-,2.18,0.37,0.20,-,0.87,3.56,0.23,2.16,-
1967,14,0.78,0.72,1.70,-,1.81,3.70,1.74,0.95,-,0.80,-,1.11,0.44,0.32,0.89,5.87,-,0.03,-,2.69,1.46,1.07,0.49,0.05,-,2.27,5.28,-,-,0.29,-,-,0.50,-,1.76,0.21,-,1.01,-,1.43,1.82,-,1.66,0.33,1.28,0.24,0.27,4.16,1.41,2.93,-
1967,15,0.03,3.24,1.46,-,2.00,3.56,2.04,0.57,-,1.03,-,11.07,0.58,0.51,0.67,1.90,-,0.41,-,1.39,0.40,1.02,1.15,0.19,-,0.13,3.99,0.21,-,0.86,-,-,0.45,-,1.44,0.51,-,2.78,0.01,1.98,0.83,0.30,2.67,0.16,0.20,-,0.75,2.43,0.40,3.00,-
1967,16,0.14,11.87,3.58,-,2.10,2.87,2.28,1.14,-,0.98,-,1.80,-,1.11,0.55,2.15,-,8.07,-,1.59,0.32,0.68,1.17,0.11,-,0.07,1.00,0.14,-,-,-,-,0.41,-,0.16,0.30,-,5.15,0.01,0.22,0.04,-,1.04,0.27,0.10,4.49,1.18,3.97,0.28,2.95,-
1967,17,0.09,-,4.19,-,2.32,1.22,2.18,0.19,-,0.99,-,1.38,0.29,0.37,0.55,5.69,-,7.82,-,1.89,0.48,0.93,1.21,-,-,0.04,0.29,-,-,0.43,-,-,0.43,-,0.96,0.20,-,1.11,0.02,1.21,0.32,-,1.79,0.29,0.20,1.65,0.27,4.10,0.79,2.72,-
1967,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1967,19,0.03,16.19,4.07,-,2.94,2.92,1.91,0.19,-,0.80,-,4.29,-,0.48,0.49,4.94,-,5.26,-,2.19,0.40,2.11,1.73,0.05,-,0.11,1.71,1.17,-,2.30,-,-,0.38,-,2.08,0.21,-,1.26,0.01,0.99,-,-,1.50,0.02,0.10,7.09,0.20,4.44,1.07,2.70,-
1967,20,-,-,2.31,-,2.79,4.53,2.32,0.19,-,0.91,-,1.94,-,1.27,0.40,2.54,-,5.11,-,1.59,0.40,0.68,1.09,-,-,1.26,0.86,-,-,-,-,-,0.51,-,0.80,0.19,-,1.31,0.30,4.40,-,-,1.14,0.21,0.49,0.47,0.62,5.64,3.17,3.25,-
1967,21,0.03,0.72,3.52,-,2.69,4.63,2.39,-,-,0.66,-,1.80,-,0.35,0.44,2.61,-,1.01,-,1.00,0.48,2.09,0.88,0.22,-,-,0.29,1.10,-,4.88,-,-,0.52,-,0.96,0.22,-,1.11,-,0.66,0.12,-,1.43,0.13,-,4.96,1.09,7.47,1.24,4.79,-
1967,22,0.03,-,2.67,-,3.38,5.07,3.61,0.19,-,0.72,-,1.66,0.29,0.50,0.22,2.18,-,0.47,-,2.89,-,0.84,0.72,0.16,-,0.04,0.14,0.14,-,5.45,-,-,0.37,-,0.80,0.26,-,0.35,-,4.29,0.28,-,1.32,0.55,0.29,8.51,0.67,6.14,0.62,3.79,-
