"Weekly Mumps Incidence, 1968-2003"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1968,34,0.06,1.05,1.37,-,0.48,0.80,0.40,0.19,0.39,0.08,-,0.14,0.14,0.05,0.18,0.32,-,0.06,-,0.60,0.24,0.68,0.28,0.03,-,0.02,0.43,-,-,-,0.06,0.50,-,-,0.48,0.16,0.04,0.10,-,0.87,-,-,1.11,-,0.39,0.23,0.18,-,0.85,1.50,-
1968,35,-,2.11,0.77,0.05,0.31,0.52,0.67,0.19,0.13,0.26,-,0.95,0.43,-,0.22,0.75,-,0.06,0.08,-,0.16,0.59,0.17,0.03,-,0.02,0.14,-,-,-,0.01,0.50,-,-,0.16,0.08,-,0.25,-,1.08,-,-,0.80,0.55,0.68,1.40,0.02,0.15,0.62,1.24,-
1968,36,-,0.70,1.01,-,0.35,0.28,0.57,0.37,-,0.30,-,3.27,1.29,0.10,0.63,1.03,-,0.06,-,0.40,0.16,0.43,0.15,0.03,-,0.02,1.00,-,-,-,0.01,0.91,-,-,3.06,0.04,0.04,0.10,-,1.52,-,-,0.80,0.39,0.49,1.86,0.04,0.12,1.36,1.91,-
1968,37,0.15,4.21,0.77,-,0.27,1.46,0.40,0.37,-,0.08,-,0.68,0.86,0.14,0.27,1.25,-,0.09,-,0.60,0.34,0.62,0.40,-,-,0.02,1.43,0.07,-,0.28,0.11,0.50,-,-,2.74,0.04,0.08,0.10,-,0.76,-,-,0.75,0.56,0.39,1.40,0.18,0.89,0.57,2.19,-
1968,38,0.03,1.75,1.01,0.05,0.46,0.52,0.54,-,-,0.20,-,0.54,0.58,0.10,0.35,1.71,-,0.22,-,-,0.18,0.64,0.34,0.03,0.05,0.02,1.29,0.27,-,0.28,0.20,0.40,-,-,-,0.07,0.04,0.50,-,1.08,-,-,0.80,0.40,0.58,2.79,0.04,-,0.74,2.76,-
1968,39,0.06,3.16,1.49,-,0.61,0.80,0.34,0.19,0.13,0.34,-,0.68,0.29,0.10,0.24,1.86,-,0.16,-,0.20,0.16,0.73,0.63,-,-,0.04,1.00,0.07,-,1.13,0.09,0.70,-,-,0.81,0.10,0.04,0.65,-,0.33,-,-,0.31,0.55,0.78,0.70,0.15,1.38,1.87,1.96,-
1968,40,0.06,2.81,0.54,-,0.72,1.51,0.84,0.56,1.03,0.30,-,1.50,0.29,0.08,0.63,2.50,0.05,0.06,0.03,0.20,0.21,0.64,0.38,0.14,0.09,-,0.29,0.14,-,0.42,0.26,0.70,-,-,-,0.19,-,0.50,-,0.76,-,-,0.46,0.48,0.78,1.63,0.09,1.44,0.79,3.34,-
1968,41,0.03,1.75,0.89,-,1.13,1.32,0.44,0.56,-,0.42,-,-,0.43,0.45,0.65,3.50,-,0.31,0.03,1.31,0.29,1.00,0.51,0.03,-,0.02,0.86,0.14,-,0.28,0.13,1.11,-,-,2.74,0.16,0.04,0.05,-,0.98,-,-,0.41,0.67,1.36,5.35,0.04,2.02,3.12,2.76,-
1968,42,0.09,1.05,0.71,-,1.44,0.33,-,-,0.13,0.19,-,0.68,0.86,0.38,0.33,3.39,-,0.56,0.17,1.41,0.03,1.09,0.59,0.19,0.09,0.39,0.57,0.34,-,1.27,0.11,1.21,-,-,1.77,0.25,0.36,0.80,-,1.08,0.43,-,0.54,0.68,0.97,3.26,0.26,1.59,2.27,3.20,-
1968,43,0.03,9.47,0.71,-,1.05,0.71,1.28,-,0.13,0.64,-,0.14,2.01,0.13,0.45,3.57,0.32,3.66,0.03,0.40,0.26,0.69,0.82,-,0.09,-,2.29,0.14,-,-,0.17,1.81,-,-,0.32,0.29,0.08,0.15,-,0.76,0.16,-,0.57,0.55,0.97,6.98,0.13,1.68,1.36,3.98,-
